Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1761058835,100,,Aggregated,21.200000,21.200000,1500,2900,4200,5000,10000,12000,14000,15000,16000,16000,16000,561,561,1500.0,3164.191483046943,74.4770520250313,16403.214404999744,0.0
1761058836,100,,Aggregated,20.200000,20.200000,1500,2900,4100,4700,9600,12000,14000,16000,25000,25000,25000,666,666,1500.0,3122.287624566809,74.4770520250313,24506.0641799937,0.0
1761058837,100,,Aggregated,23.000000,23.000000,1300,2600,3800,4600,8500,12000,14000,15000,25000,25000,25000,723,723,1300.0,2921.8237263064048,74.4770520250313,24506.0641799937,0.0
1761058838,100,,Aggregated,23.000000,23.000000,1300,2500,3700,4600,8400,12000,14000,15000,25000,25000,25000,737,737,1300.0,2891.070717379256,74.4770520250313,24506.0641799937,0.0
1761058839,100,,Aggregated,34.900000,34.900000,1300,2400,3700,4600,8400,12000,14000,15000,25000,25000,25000,740,740,1300.0,2887.600751446617,74.4770520250313,24506.0641799937,0.0
1761058840,100,,Aggregated,32.600000,32.600000,1400,2600,3600,4400,8300,12000,14000,15000,25000,25000,25000,762,762,1400.0,2883.789582667338,74.4770520250313,24506.0641799937,0.0
1761058841,100,,Aggregated,32.600000,32.600000,1400,2800,3700,4400,8200,12000,14000,16000,35000,35000,35000,789,789,1400.0,2945.0411032072325,74.4770520250313,34669.16782601038,0.0
1761058842,100,,Aggregated,25.100000,25.100000,1500,2800,3800,4400,8100,12000,14000,15000,35000,35000,35000,810,810,1500.0,2960.2360884697796,74.4770520250313,34669.16782601038,0.0
1761058843,100,,Aggregated,28.000000,28.000000,1500,2900,3800,4400,7700,12000,14000,15000,35000,35000,35000,867,867,1500.0,2946.177075530946,74.4770520250313,34669.16782601038,0.0
1761058844,100,,Aggregated,28.000000,28.000000,1500,2800,3800,4400,7700,12000,14000,15000,35000,35000,35000,871,871,1500.0,2943.232428604212,74.4770520250313,34669.16782601038,0.0
1761058845,100,,Aggregated,29.000000,29.000000,1600,2800,3800,4400,7700,12000,14000,15000,35000,35000,35000,878,878,1500.0,2940.433123839846,74.4770520250313,34669.16782601038,0.0
